solar,ppt
5.051729287,1.333
6.415831889,0.921
10.8479197,0.947
16.93026419,0.615
24.03079665,0.544
26.29820179,0.703
26.37065748,0.741
22.48036537,0.868
15.28125086,1.107
10.18159408,1.429
7.010803777,1.437
4.672524081,1.58
13.48152391,0.747
16.07858355,0.504
25.72149415,0.487
34.19702116,0.392
44.06678049,0.35
47.63652229,0.338
49.39733178,0.332
43.73478557,0.434
32.53640941,0.65
22.2513301,0.884
15.26416566,0.844
11.42466072,0.896
6.951181284,0.644
7.76386236,0.539
11.89204716,0.603
13.58588688,0.589
22.00316916,0.498
22.63356168,0.473
23.70440556,0.328
20.73449898,0.379
13.68008988,0.519
10.42227102,0.84
6.6880641,0.852
5.78099388,0.797
5.740027501,0.968314
8.949175965,0.732
12.37678374,0.598657
16.45492714,0.575086
21.58890089,0.533314
23.6441462,0.494286
22.79688498,0.3272
21.14347991,0.290114
17.16085926,0.347257
11.21815272,0.625229
7.931192922,0.815943
5.81279764,0.939629
5.194090344,0.531114
8.485004659,0.450257
13.18248869,0.495029
18.82105112,0.455486
23.46454445,0.561057
25.68759864,0.387314
27.24186967,0.3288
23.16407662,0.269829
16.22850324,0.380771
11.29198333,0.515314
6.208846665,0.7296
4.12980295,0.680857
1.58198238,0.834
2.40294408,0.655
4.4812716,0.602
3.72178608,0.533
4.12462602,0.293
4.49295975,0.258
3.1980174,0.209
3.49521042,0.245
3.97169152,0.358
3.50314208,0.679
2.63740488,0.74
12.78639416,0.991
5.286285484,0.583714
8.37378534,0.432686
13.03832599,0.485829
18.471224,0.497486
22.91422766,0.594229
25.2593295,0.474657
27.25072964,0.329371
24.51362599,0.260743
18.13482731,0.260657
11.90550187,0.433429
7.900462394,0.491971
5.245637526,0.599086
5.72472794,0.401257
8.12532276,0.2744
14.4113145,0.325057
16.4992484,0.495914
21.8405585,0.5332
22.6945494,0.374857
23.88742454,0.206914
21.38821198,0.167943
17.45139185,0.162914
13.0372207,0.304771
7.345377744,0.301486
5.678640576,0.428714
5.576693547,0.478543
7.6074156,0.357771
11.69349515,0.4418
16.43867936,0.597571
20.19955775,0.515829
21.96796903,0.363686
22.75210046,0.156943
20.75504919,0.103143
16.17297263,0.214829
10.62147741,0.383486
6.390607467,0.5022
4.706023011,0.487457
12.66011562,0.394
16.97024479,0.345
26.68443024,0.402
33.42071232,0.575
43.73508443,0.594
47.25108295,0.38
46.95314772,0.115
43.04624164,0.062
34.74285301,0.18
24.29064637,0.389
15.0252529,0.456
11.48226411,0.474
4.224080902,0.348743
8.625186512,0.344
13.62007732,0.414771
17.21275904,0.616886
20.94374481,0.698686
24.81104458,0.4392
26.0054901,0.130086
23.05744945,0.119571
18.17749062,0.235229
10.81015505,0.467514
5.107352742,0.460771
3.460766121,0.399943
12.7125204,0.42
17.26068776,0.398
25.48556332,0.466
32.99319352,0.616
41.87037252,0.597
47.40814123,0.354
48.54622512,0.089
45.02026963,0.06
35.56999214,0.178
26.22688278,0.35
16.4652888,0.423
12.10990032,0.467
7.5927618,0.259571
9.75901212,0.294743
14.81596872,0.416429
17.75440452,0.535857
22.00219224,0.537514
21.85383996,0.291971
23.45194152,0.086686
22.17999168,0.065229
18.16554828,0.149286
12.45335748,0.460771
9.3700584,0.421086
6.6147951,0.287829
7.038442167,0.196912
10.25157518,0.243824
14.76467505,0.306088
15.83230905,0.580294
20.96339348,0.698118
23.53030983,0.415706
24.168303,0.2575
19.4578041,0.151647
17.71037334,0.200324
12.00953342,0.476382
8.615485392,0.323206
6.511674216,0.225235
8.237723745,0.197057
11.48414063,0.223829
16.99588865,0.293286
18.20247938,0.528714
22.55450415,0.778914
28.36889404,0.743371
27.48637887,0.546114
26.37012192,0.4156
20.77461357,0.271686
13.51368105,0.435371
10.15876563,0.274086
7.317892386,0.226114
6.174697746,0.372
9.524703632,0.501771
15.79370244,0.492229
18.42159981,0.760857
23.54489449,0.753543
29.30737182,0.493257
28.55423055,0.194371
26.37343309,0.107171
21.75830714,0.1532
14.51213198,0.534429
